timestamp,uint16__adcsErrFlags,int32__estAngRateNorm,a__int32__estAngRateVec,a__int32__estAttAngles,a__int16__measWheelSpeed
2024-10-31 04:24:06,0,0,"[0, 0, 0]","[-1350, 1010, 3780]","[0, -3671, 0]"
2024-10-31 04:24:36,0,0,"[0, 0, 0]","[-1600, 970, 3930]","[0, -3682, 0]"
2024-10-31 04:25:06,0,0,"[0, 0, 0]","[-1750, 1000, 4150]","[0, -3686, 0]"
2024-10-31 04:25:36,0,0,"[0, 0, 0]","[-1660, 1060, 4230]","[0, -3693, 0]"
2024-10-31 04:26:06,0,0,"[0, 0, 0]","[-1460, 1200, 4340]","[0, -3685, 0]"
2024-10-31 04:26:36,0,0,"[0, 0, 0]","[-1070, 1280, 4350]","[0, -3678, 0]"
2024-10-31 04:27:06,0,0,"[0, 0, 0]","[-490, 1390, 4460]","[0, -3670, 0]"
2024-10-31 04:27:36,0,0,"[0, 0, 0]","[160, 1520, 4520]","[0, -3650, 0]"
2024-10-31 04:28:06,0,0,"[0, 0, 0]","[610, 1550, 4590]","[0, -3632, 0]"
2024-10-31 04:28:36,0,0,"[0, 0, 0]","[1130, 1500, 4670]","[0, -3624, 0]"
