timestamp,uint8__opMode,uint32__upTime,uint16__totalResetCount,uint16__resetReasonBitField,uint16__payloadModesStatus
2024-11-18 02:18:16,2,213234,9516,890,0
2024-11-18 02:18:46,2,213264,9516,890,0
2024-11-18 02:19:16,2,213294,9516,890,0
2024-11-18 02:19:46,2,213324,9516,890,0
2024-11-18 02:20:16,2,213354,9516,890,0
2024-11-18 02:20:46,2,213384,9516,890,0
2024-11-18 02:21:16,2,213414,9516,890,0
2024-11-18 02:21:46,2,213444,9516,890,0
2024-11-18 02:22:16,2,213474,9516,890,0
2024-11-18 02:22:46,2,213504,9516,890,0
2024-11-18 02:23:16,2,213534,9516,890,0
2024-11-18 02:23:46,2,213564,9516,890,0
2024-11-18 02:24:16,2,213594,9516,890,0
2024-11-18 02:24:46,2,213624,9516,890,0
2024-11-18 02:25:16,2,213654,9516,890,0
2024-11-18 02:25:46,2,213684,9516,890,0
2024-11-18 02:26:16,2,213714,9516,890,0
2024-11-18 02:26:46,2,213744,9516,890,0
2024-11-18 02:27:16,2,213774,9516,890,0
2024-11-18 02:27:46,2,213804,9516,890,0
2024-11-18 02:28:16,2,213834,9516,890,0
2024-11-18 02:28:46,2,213864,9516,890,0
2024-11-18 02:29:16,2,213894,9516,890,0
2024-11-18 02:29:46,2,213924,9516,890,0
2024-11-18 02:30:16,2,213954,9516,890,0
2024-11-18 02:30:47,2,213984,9516,890,0
2024-11-18 02:31:17,2,214014,9516,890,0
2024-11-18 02:31:47,2,214044,9516,890,0
2024-11-18 02:32:17,2,214074,9516,890,0
2024-11-18 02:32:47,2,214104,9516,890,0
2024-11-18 02:33:17,2,214134,9516,890,0
2024-11-18 02:33:47,2,214164,9516,890,0
2024-11-18 02:34:17,2,214194,9516,890,0
2024-11-18 02:34:47,2,214224,9516,890,0
2024-11-18 02:35:17,2,214254,9516,890,0
2024-11-18 02:35:47,2,214284,9516,890,0
2024-11-18 02:36:17,2,214314,9516,890,0
2024-11-18 02:36:47,2,214344,9516,890,0
2024-11-18 02:37:17,2,214374,9516,890,0
2024-11-18 02:37:47,2,214404,9516,890,0
2024-11-18 02:38:17,2,214434,9516,890,0
2024-11-18 02:38:47,2,214464,9516,890,0
2024-11-18 02:39:17,2,214494,9516,890,0
2024-11-18 02:39:47,2,214524,9516,890,0
2024-11-18 02:40:17,2,214554,9516,890,0
2024-11-18 02:40:47,2,214584,9516,890,0
2024-11-18 02:41:17,2,214614,9516,890,0
2024-11-18 02:41:47,2,214644,9516,890,0
2024-11-18 02:42:17,2,214674,9516,890,0
2024-11-18 02:42:47,2,214704,9516,890,0
2024-11-18 02:43:17,2,214734,9516,890,0
2024-11-18 02:43:47,2,214764,9516,890,0
2024-11-18 02:44:17,2,214794,9516,890,0
2024-11-18 02:44:47,2,214824,9516,890,0
2024-11-18 02:45:17,2,214854,9516,890,0
2024-11-18 02:45:47,2,214884,9516,890,0
2024-11-18 02:46:17,2,214914,9516,890,0
2024-11-18 02:46:47,2,214944,9516,890,0
2024-11-18 02:47:17,2,214974,9516,890,0
2024-11-18 02:47:47,2,215004,9516,890,0
2024-11-18 02:48:17,2,215034,9516,890,0
2024-11-18 02:48:48,2,215064,9516,890,0
2024-11-18 02:49:18,2,215094,9516,890,0
2024-11-18 02:49:48,2,215124,9516,890,0
2024-11-18 02:50:18,2,215154,9516,890,0
2024-11-18 02:50:48,2,215184,9516,890,0
2024-11-18 02:51:18,2,215214,9516,890,0
2024-11-18 02:51:48,2,215244,9516,890,0
2024-11-18 02:52:18,2,215274,9516,890,0
2024-11-18 02:52:48,2,215304,9516,890,0
2024-11-18 02:53:18,2,215334,9516,890,0
2024-11-18 02:53:48,2,215364,9516,890,0
2024-11-18 02:54:18,2,215394,9516,890,0
2024-11-18 02:54:48,2,215424,9516,890,0
2024-11-18 02:55:18,2,215454,9516,890,0
2024-11-18 02:55:48,2,215484,9516,890,0
